trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.8, 'e': 0.17824895082064895}",20,3,17.189444705337557,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.171118992787823}",20,9,-25.136320525768557,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.8, 'e': 0.16427423307631006}",25,11,-48.593105081367725,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.15770326375325766}",30,0,-46.24403491008045,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.15139513320312734}",30,12,-8.785986467976427,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.14533932787500223}",25,11,8.918285748416064,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.13952575476000215}",30,19,19.693976133627604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.13394472456960205}",30,0,-7.562626565389098,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.12858693558681797}",25,0,-54.943523877765045,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.8, 'e': 0.12344345816334525}",20,8,-59.8845106411549,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
52,False,"{'a': 0.8, 'e': 0.11850571983681144}",25,16,8.138535866403602,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.11376549104333897}",20,9,1.5949566837856206,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.1092148714016054}",20,10,18.89950393819125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.10484627654554118}",20,0,5.516544688791686,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.10065242548371953}",25,0,34.422360097199224,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.09662632846437075}",20,14,3.702383837359654,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.09276127532579591}",30,14,-110.4164128568084,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
59,False,"{'a': 0.8, 'e': 0.08905082431276407}",20,13,11.922477809753826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.0854887913402535}",30,0,14.697949356119608,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.08206923968664336}",20,0,-2.238422532983628,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.07878647009917762}",25,11,15.89219390069768,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.07563501129521051}",20,3,10.374025671633873,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.07260961084340209}",20,12,-37.607762675737355,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.8, 'e': 0.069705226409666}",25,17,11.853337838941286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.06691701735327936}",25,7,17.391623736586897,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.06424033665914819}",25,8,27.911931340685932,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.06167072319278226}",20,14,13.253703037385028,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.059203894265070965}",20,8,-4.746352559400291,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.05683573849446812}",35,0,11.611162840662606,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.054562308954689394}",30,18,-19.44798181878254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.052379816596501816}",20,15,7.881312410585788,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.05028462393264174}",20,8,20.383756944683565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.04827323897533607}",25,17,13.539309211323669,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.04634230941632263}",20,8,-1.2811085883972844,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.04448861703966972}",30,10,25.3851887666009,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.04270907235808293}",20,8,20.348998690161952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.04100070946375961}",35,21,26.908876043089528,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.03936068108520922}",25,0,-44.638065234184914,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.03778625384180085}",25,0,12.396581917069252,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.8, 'e': 0.03627480368812881}",30,4,-28.58967817755777,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",1
82,False,"{'a': 0.8, 'e': 0.034823811540603655}",20,8,-14.721766278379022,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.8, 'e': 0.03343085907897951}",25,9,15.127175051578899,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.03209362471582033}",30,18,18.936772336708927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.030809879727187513}",20,0,-56.194515681668385,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
86,False,"{'a': 0.8, 'e': 0.02957748453810001}",35,15,-104.12394874574434,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",1
87,False,"{'a': 0.8, 'e': 0.02839438515657601}",30,12,30.2599583939013,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.027258609750312968}",30,6,22.51839115473207,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.02616826536030045}",25,11,1.9187609877333962,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.02512153474588843}",25,0,38.85307174053827,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.02411667335605289}",30,5,-57.06568498175625,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.8, 'e': 0.023152006421810773}",35,12,-30.251807867620467,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
93,False,"{'a': 0.8, 'e': 0.02222592616493834}",25,6,31.261173161277704,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.021336889118340807}",20,7,-35.59945861334381,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.8, 'e': 0.020483413553607173}",20,8,7.948516112596076,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.019664077011462885}",25,14,-49.613615253333336,"{0: 7, 1: 1, 2: 0, 3: 3, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.01887751393100437}",20,7,3.615681482281692,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.018122413373764194}",20,4,28.315089420998746,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.017397516838813624}",20,3,24.633149233024664,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.016701616165261078}",20,0,-25.070512203731802,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.8, 'e': 0.016033551518650633}",30,0,38.982336523804854,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.015392209457904607}",20,14,-10.220611453300604,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.8, 'e': 0.014776521079588422}",25,16,-11.73043313931313,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.014185460236404884}",20,10,16.545582313345736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.013618041826948687}",30,16,23.758857891174355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.01307332015387074}",20,16,7.5093391446155024,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.01255038734771591}",25,3,33.85812393176087,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.012048371853807274}",20,6,22.570936082923463,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.011566436979654982}",20,0,33.28819106208695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.8, 'e': 0.011103779500468782}",25,2,20.559421028841253,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.8, 'e': 0.01065962832045003}",20,6,3.537083872790223,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.01023324318763203}",30,2,36.38139280872631,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.009823913460126748}",35,15,14.079611690656105,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,21.778632441099045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,17.69488557170005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,34.689567257569216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,31.548703240430775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,8.034854618620848,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,10,20.324742104115067,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,27.598957668774187,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,15,8.728848216953725,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,14,14.652241093071591,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,30.75685567168879,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,16,26.276684725457557,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,23,-32.51811120528555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,True,"{'a': 0, 'e': 0}",35,21,27.441970208303015,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,15,-1.3719230037000365,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,0,13.930448502851206,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,13,17.57938130373457,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,31.388993670986444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",20,13,12.251202125556688,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,13,11.281702784830188,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,18,19.299415865594206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,14,27.868701057224442,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,0,12.814683655063481,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,True,"{'a': 0, 'e': 0}",20,10,20.646056254395827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,1,-2.967780328692201,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,True,"{'a': 0, 'e': 0}",25,15,19.202080413888147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
